title,size,tags,levels,text
Sequence of Sequences,,freedom memory group mind listening, ,Circle: 1 points at another and says a word  and so on until the full circle is complete. Establish more 'circuits' and begin to juggle multiple
Point  Yes  Move,,group mind, ,circle: 1 points to another  ONLY when the person pointed to says yes can the pointer move. They walk slowly toward them. The one who said yes must now point at a new person. Harder than it seems.
Pass the Face,,freedom pov group mind status, ,Circle up. One player makes a face and then makes eye contact with someone who has to make the same face then generate a new face and pass it along with eye contact. Add sound effects or phrasing.
What's In the Kitchen?,,memory object work, ,Players enter a space and interact with an object. The following players address the space and ALL objects set before them
Hitchhiker,,freedom pov group mind justification game object work listening, ,2 actors in a car  everyone else is lined up. 2 actors must establish a relationship and why they are in the car. Once relationship is established  3rd actor sticks thumb out as an exaggerated character and in a characteristic voice asks if they're headed to (destination). Original 2 actors immediately take on all the characteristics of Actor 3. They cruise down the road for a bit  having a grand time. Then driver makes and excuse to bail. Actor 3 gets in front seat and the drill starts over.
Did Ya Ever,,memory pov group mind justification listening, ,One word at a time story. Starts with on player saying 'did ya ever' then each player after building a story one word at a time until a natural conclusion. Do with Hillbilly accent  etc
Distillation,,memory pov game listening, ,pair in scene. 1 min scene. After that each player only gets 3 lines to portray the same scene. After that  each player only gets 1 line
Clover,,group mind, ,start with one word  word association until we arrive back at original word
Fingy,,freedom group mind, ,index fingers join in middle. Say Fingy. One person initiates silly movement from finger  rest follow  finger eventually lands back I'm center  say Fingy to finish
Fortunately/Unfortunately,,justification group mind, ,players tell story one person at a time  each subsequent player must begin their part of the story with 'fortunately/unfortunately'
It's Tuesday,,justification listening, ,One actor says something rather mundane. The other actor completely overreacts in a positive manner then must justify their reaction.
Loser Ball,,object work, ,Players in circle. One by one they pass a ball and whoever is supposed to catch it ends up not catching it. Everyone cheers them for not catching it! Ball is a different size and weight each time.
Yes  Let's!,,freedom, ,Circled up  each player suggests an activity and everyone enthusiastically agrees 'Yes  Let's!' and everyone acts it out.
Anyone Like Me?,,group mind, ,Circle up. One by one go around I'm looking for people who  like me  love ice cream Anyone who agrees claps  gives praise  etc.
Terrible Presents,,group mind justification, ,One by one players present a terrible present to their neighbor. Neighbor gleefully accepts the present and explains how they'll utilize it.
Don't Get Me Started,,pov justification, ,go around circle. Actor gives another actor a single word prompt. Actor then goes on improvised rant about object. 'Cakes? Don't get me started on Cakes!
Baton Offer,,memory pov group mind justification status game object work listening, ,Exercise: Baton Offering 2 person scene. Each actor has a baton or some object. When you feel like you have made an offer you hand the other the baton. If you have both batons you need to be making offers. Variation: each player says their line and then breaks character to say 'what' they are offering to the scene. Example: A: Hey James mom said she wont be home until 10. Break Character: I am offering the Who and the Where.  B: You know what that means  we can read ALL WE WANT!. Break Character: I am offering an unusual behavior and peas in a pod.
Attract dont Argue,,pov group mind justification status game listening, ,2 person scene with strong opposed views. Each actor tries to win the other over to their side instead of attacking the other
You wanted to see me  [occupation]?,,pov justification status game listening, ,2 actors. 1 says you wanted to see me and then gives the other person an occupation. The responded lists 2 normal things that person would want or say and 1 crazy thing
What did you just say?,,freedom pov justification status game listening, ,2 person scene. At any point one actor responds with 'What did you just say?' and finds meaning in that statement
Terrible Gifts,,freedom pov justification object work listening, ,Circle. One by one players present a terrible present to their neighbor. Neighbor gleefully accepts the present and explains how they'll utilize it.
Magic Clay,,justification object work, ,
hey fred schnieder,,freedom group mind, ,
Beastie Rap,,freedom memory group mind listening, ,
Bunny Bunny,,freedom group mind listening, ,
Crazy 8s,,freedom group mind listening, ,
Zip  Zap  Zop,,freedom group mind listening, ,
Woosh Bang Pow,,freedom memory pov group mind listening, ,
Pass the Clap,,freedom group mind listening, ,
Red ball  Blue Ball,,memory group mind object work listening, ,
Ninja Star  Tomahawk  Big Wet Fish,,memory group mind object work listening, ,
5 Things,,freedom memory group mind, ,
